16
13, 0.197, 17.5, 1.51, 0.1505, -0.0418
6, 0.082, 13.2, 1.08, 0.0914, 0.0097
7, 0.098, 13.2, 1.09, 0.0896, 0.0082
8, 0.115, 13.4, 1.10, 0.0900, -0.0134
10, 0.148, 14.8, 1.34, 0.1252, -0.0489
5, 0.066, 13.2, 1.08, 0.0820, 0.0056
9, 0.131, 13.9, 1.17, 0.0998, -0.0041
20, 0.312, 23.3, 1.73, 0.2834, -0.0832
11, 0.164, 15.7, 1.28, 0.1446, 0.0110
12, 0.181, 16.5, 1.55, 0.1818, -0.0824
18, 0.279, 22.2, 1.81, 0.2509, -0.0997
14, 0.213, 18.6, 1.51, 0.1679, -0.0157
15, 0.230, 19.6, 1.62, 0.1859, -0.0330
17, 0.263, 21.7, 1.76, 0.2422, -0.0873
16, 0.246, 20.7, 1.77, 0.2179, -0.0717
19, 0.295, 22.8, 1.81, 0.3024, -0.1150
