0.1	0.53185
0.2	0.778659
0.3	0.70456
0.4	0.394004
0.5	-2.10108e-07
0.6	-0.322584
0.7	-0.472281
0.8	-0.427337
0.9	-0.238975
1	2.54874e-07
1.1	0.195657
1.2	0.286453
1.3	0.259193
1.4	0.144946
1.5	-2.31884e-07
1.6	-0.118672
1.7	-0.173742
1.8	-0.157209
1.9	-0.0879141
2	1.87526e-07
2.1	0.0719782
2.2	0.10538
2.3	0.0953518
2.4	0.0533226
2.5	-1.42175e-07
2.6	-0.043657
2.7	-0.0639163
2.8	-0.0578338
2.9	-0.0323417
3	1.0348e-07
3.1	0.0264793
3.2	0.0387672
3.3	0.035078
3.4	0.0196163
3.5	-7.32248e-08
3.6	-0.0160605
3.7	-0.0235135
3.8	-0.0212759
3.9	-0.0118979
4	5.07578e-08
4.1	0.00974121
4.2	0.0142617
4.3	0.0129045
4.4	0.00721641
4.5	-3.46344e-08
4.6	-0.00590835
4.7	-0.00865013
4.8	-0.00782695
4.9	-0.00437697
5	2.33409e-08
5.1	0.0035836
5.2	0.00524657
5.3	0.00474728
5.4	0.00265477
5.5	-1.55727e-08
5.6	-0.00217356
5.7	-0.00318221
5.8	-0.00287937
5.9	-0.0016102
6	1.0304e-08
6.1	0.00131833
6.2	0.00193011
6.3	0.00174643
6.4	0.000976633
6.5	-6.77049e-09
6.6	-0.000799609
6.7	-0.00117067
6.8	-0.00105926
6.9	-0.000592358
7	4.42239e-09
7.1	0.000484988
7.2	0.000710046
7.3	0.000642474
7.4	0.000359283
7.5	-2.87391e-09
7.6	-0.00029416
7.7	-0.000430665
7.8	-0.00038968
7.9	-0.000217916
8	1.85932e-09
8.1	0.000178417
8.2	0.000261212
8.3	0.000236353
8.4	0.000132173
8.5	-1.19822e-09
8.6	-0.000108216
8.7	-0.000158433
8.8	-0.000143355
8.9	-8.01667e-05
9	7.69507e-10
9.1	6.56361e-05
9.2	9.60944e-05
9.3	8.69494e-05
9.4	4.86235e-05
9.5	-4.92659e-10
9.6	-3.98103e-05
9.7	-5.82842e-05
9.8	-5.27375e-05
9.9	-2.94917e-05
10	3.1454e-10
